diag_t,effectif
F321,2290
F200,2171
F322,1622
F430,1230
F209,1079
X610,1022
F29,1012
F329,1011
T424,931
F419,837
F3210,771
F220,767
F100,747
R451,687
Z9150,621
Z911,618
F432,547
F6031,487
R458,473
F609,451
F412,392
F312,391
F411,380
F323,377
F309,369
F101,362
Z630,355
F259,354
F4302,346
T391,340
X600,334
F320,322
F431,299
F2000,285
F250,277
F302,276
F232,269
F102,259
F319,255
X619,233
R440,229
Z590,217
F6030,210
F603,195
F230,188
F688,184
F311,176
F121,173
F3020,167
F310,167
F313,166
X780,166
F231,165
F3211,160
T432,155
F919,150
T435,149
F4322,141
R410,140
F229,133
F203,132
F122,128
F233,128
F120,121
F3230,121
F251,117
F410,113
F301,109
F3200,100
R460,96
F3201,95
F331,95
F314,94
F602,94
F332,91
R443,91
F239,89
F2008,88
T433,88
Z046,88
F28,87
Z631,86
F300,84
F4301,84
F172,83
R456,83
Z6030,83
F316,82
F3120,81
F418,80
F3800,78
F141,76
X640,76
F131,75
R400,75
T402,70
F339,68
X789,68
F03,67
F3130,66
R441,66
F317,63
Z9158,63
Y150,61
X620,60
F252,57
F328,57
F840,57
Z634,57
F4300,56
Z532,56
F39,54
T393,53
R455,52
T426,52
R462,51
T439,51
F2090,50
F989,50
S519,50
X609,48
F059,47
F190,45
S517,44
Z638,44
F2320,43
F69,43
T509,43
F510,42
F202,41
F201,40
F315,40
G409,40
R452,40
Z751,40
F191,39
F2004,39
F206,39
F711,39
E1198,38
F1000,38
G470,38
I10,38
F500,37
F940,37
F062,36
F140,35
R53+1,35
X700,35
F078,34
F918,33
R53+2,33
Z651,33
F2321,32
F1030,31
Z6020,31
F192,30
R53+0,30
F1024,29
F199,29
F99,29
R104,29
R630,29
F067,28
F103,28
F142,28
F718,27
F849,27
E8768,26
F061,26
F2301,26
F333,26
F530,26
F700,26
R634,26
S619,26
X849,26
F109,25
F258,25
F208,24
F2310,24
F4323,24
K590,24
X690,24
Y060,24
E039,23
F132,23
F2001,23
F3021,23
F608,23
G240,23
R51,23
Z6028,23
F4101,22
F630,22
F409,21
F4324,21
F59,21
R454,21
X649,21
Z5913,21
E162,20
E86,20
F21,20
F2501,20
F799,20
R442,20
Y495,20
F1007,19
F111,19
F238,19
F3310,19
F4320,19
F4321,19
F489,19
F607,19
F710,19
F228,18
F24,18
F2500,18
F429,18
N179,18
N185,18
T543,18
Z608,18
F123,17
F130,17
F308,17
F3131,17
F845,17
R529,17
S711,17
Y911,17
F1900,16
F1925,16
F2591,16
S109,16
T427,16
T590,16
Z566,16
Z598,16
F420,15
F4325,15
F439,15
F841,15
G20,15
R33,15
S010,15
S311,15
T743,15
Z599,15
Z719,15
F604,14
R073,14
R652,14
T009,14
T741,14
X611,14
X702,14
Z028,14
D509,13
F058,13
F113,13
F2311,13
F3121,13
F349,13
F422,13
F509,13
G819,13
X718,13
X800,13
Z290,13
Z567,13
Z639,13
D570,12
F03+0,12
F050,12
F152,12
F2098,12
F2521,12
F54,12
F709,12
G473,12
K509,12
L732,12
R074,12
R413,12
R464,12
S011,12
S411,12
S617,12
T400,12
X602,12
X630,12
Y070,12
Z564,12
Z730,12
E1190,11
E6695,11
F104,11
F105,11
F1203,11
F1224,11
F129,11
F2391,11
F3150,11
F3311,11
F701,11
F708,11
F721,11
F900,11
G403,11
I872,11
R11,11
S019,11
S119,11
S518,11
S610,11
S717,11
T434,11
X615,11
X629,11
Z609,11
Z635,11
Z653,11
F151,10
F195,10
F2003,10
F2005,10
F2511,10
F3330,10
F402,10
F798,10
Q851,10
R001,10
R471,10
R522,10
T450,10
U089,10
X410,10
Y450,10
A099,9
E8708,9
F03+02,9
F0631,9
F1025,9
F1040,9
F2002,9
F2009,9
