diag_t	n
F200	1469
F321	1368
F322	925
F209	666
F29	611
F430	516
F3210	515
F220	489
F329	481
F419	410
F432	321
F309	278
F100	261
F312	247
F320	218
F250	205
F323	202
F259	199
F411	196
F232	184
F302	184
F4302	179
F412	172
F2000	169
R458	166
R451	154
F6031	147
F609	147
F431	138
F311	128
F310	120
F3020	119
F319	119
F203	108
F688	105
F230	103
F3211	91
F3230	85
F603	85
F233	83
c("F321", "Z9150")	80
F313	79
F4322	77
F229	76
F301	76
F2008	72
F231	72
F3200	72
F251	67
F239	66
F3120	66
F6030	63
F410	62
F314	59
F300	58
F919	57
F332	51
F4301	51
c("F200", "R451")	50
F316	47
F3800	47
F418	47
c("F200", "Z911")	46
F28	44
F4300	43
F3130	42
Z046	41
F602	40
c("F322", "Z9150")	39
F2090	38
F3201	38
F328	37
F840	37
F331	36
R440	36
c("F322", "X610", "T424")	33
F315	32
F252	29
F062	28
F102	28
F202	28
F39	28
R410	28
c("F329", "Z9150")	28
c("F29", "R451")	27
c("F321", "F609")	27
F2320	26
F317	26
c("F329", "X610", "T424")	26
F201	25
F989	25
c("F209", "Z911")	25
F206	24
c("F321", "F419")	24
c("F321", "X610", "T424")	23
F2321	22
F339	22
F711	22
F03	21
F2004	21
F208	20
c("F322", "F419")	20
F4101	19
R443	19
c("F321", "F6031")	19
c("F430", "X610", "T424")	19
c("F322", "X600", "T391")	18
F4323	17
F940	17
c("F3210", "F431")	17
F1000	16
F238	16
c("F230", "R451")	16
c("F29", "F200")	16
c("F321", "R458")	16
c("F3210", "Z9150")	16
c("F322", "F100")	16
c("F412", "X610", "T424")	16
F409	15
F489	15
F510	15
F710	15
c("F200", "R440")	15
c("F200", "Z911", "Z751")	15
c("F6031", "Z9150")	15
F190	14
F2500	14
F841	14
F918	14
c("F100", "F209")	14
c("F209", "R451")	14
c("F302", "R451")	14
c("F322", "F431")	14
c("F430", "Z9150")	14
F059	13
F1030	13
F3021	13
F500	13
c("F919", "F29")	13
F101	12
R441	12
R462	12
c("F200", "F220")	12
c("F209", "R440")	12
c("F321", "X600", "T391")	12
c("R458", "Z590")	12
F061	11
F2001	11
F2098	11
F2301	11
F2591	11
F308	11
F3150	11
F718	11
c("F100", "Y150")	11
c("F121", "F29")	11
c("F209", "F200")	11
c("F29", "F419")	11
c("F419", "F321")	11
c("F430", "Z630", "X610", "T424")	11
c("R440", "R410")	11
F03+0	10
F067	10
F103	10
F21	10
F2521	10
F420	10
c("F220", "F200")	10
c("F231", "F200")	10
c("F29", "F232")	10
c("F312", "R451")	10
c("F321", "F322")	10
c("F322", "F321")	10
c("F329", "T391", "X600")	10
c("F329", "T424", "X610")	10
c("F412", "Z9150")	10
c("F430", "F321")	10
c("F918", "Q851")	10
F1024	9
F120	9
F1900	9
F2002	9
F2005	9
F2501	9
F3121	9
F4320	9
F530	9
F531	9
F849	9
c("F100", "F321")	9
c("F200", "F120")	9
c("F200", "F209")	9
c("F200", "F99")	9
c("F200", "Z911", "F321")	9
c("F209", "F220")	9
c("F209", "F329")	9
c("F232", "A099")	9
c("F259", "F200")	9
c("F259", "R451")	9
c("F29", "F121")	9
c("F3201", "F29")	9
c("F321", "F100")	9
c("F321", "F432")	9
c("F322", "F101")	9
c("F322", "Z911")	9
c("F419", "X610", "T424")	9
c("F432", "Z9150")	9
c("F6031", "X610", "T424")	9
F0631	8
F1040	8
F109	8
F140	8
F2003	8
F2009	8
F2511	8
F3131	8
F318	8
F333	8
F349	8
F4324	8
F721	8
c("F100", "F102")	8
c("F100", "R451")	8
c("F200", "F2000")	8
c("F200", "R443")	8
c("F220", "F209")	8
c("F220", "Z911")	8
c("F233", "R451")	8
c("F24", "F195")	8
c("F251", "R443", "K590")	8
c("F259", "R400", "F100", "F120")	8
c("F28", "F200")	8
c("F29", "F122", "F799")	8
c("F29", "F209")	8
c("F312", "E86", "R441", "D352", "E8708")	8
c("F316", "F172", "Z911", "F300")	8
c("F320", "F209")	8
c("F321", "F101")	8
c("F321", "F431")	8
c("F321", "Z630", "X610", "T424")	8
c("F321", "Z911")	8
c("F322", "F530")	8
c("F3230", "F29")	8
c("F329", "X600", "T391")	8
c("F430", "X610", "T432")	8
c("F430", "Z630", "Z9150")	8
c("F919", "F200")	8
c("R451", "F309")	8
c("Z046", "Z651")	8
F1007	7
F106	7
F122	7
F132	7
F1907	7
F2030	7
F2091	7
F3330	7
F4100	7
F422	7
F429	7
F4321	7
F4325	7
F439	7
F59	7
R454	7
c("F200", "F122", "F142", "F152")	7
c("F200", "F430")	7
c("F200", "Z751")	7
c("F200", "Z911", "R451")	7
c("F2000", "R652", "F239")	7
c("F2008", "R441", "F259", "F411")	7
c("F209", "K509", "L732")	7
c("F220", "F29")	7
c("F220", "R440")	7
c("F230", "F220")	7
c("F230", "R53+1", "R400", "F29")	7
c("F231", "R458")	7
c("F233", "F29")	7
c("F250", "R460")	7
c("F259", "E8768", "R740", "R456")	7
c("F28", "F229", "F1202", "Z590", "R460", "T590", "S010", "Z911", "R451")	7
c("F29", "Z9150")	7
c("F3020", "F172", "F102", "F120", "Z6030")	7
c("F309", "R451")	7
c("F311", "F301")	7
c("F312", "F172", "F419", "F229")	7
c("F312", "Z911", "R451")	7
c("F320", "F200")	7
c("F321", "F430")	7
c("F321", "R451")	7
c("F321", "Z9158", "F419", "F69")	7
